epoch,char_1_accuracy,char_1_loss,char_2_accuracy,char_2_loss,char_3_accuracy,char_3_loss,char_4_accuracy,char_4_loss,char_5_accuracy,char_5_loss,char_6_accuracy,char_6_loss,loss,val_char_1_accuracy,val_char_1_loss,val_char_2_accuracy,val_char_2_loss,val_char_3_accuracy,val_char_3_loss,val_char_4_accuracy,val_char_4_loss,val_char_5_accuracy,val_char_5_loss,val_char_6_accuracy,val_char_6_loss,val_loss
0,0.5591874718666077,1.6328485012054443,0.4242578148841858,2.1073410511016846,0.37418749928474426,2.2726829051971436,0.3719140589237213,2.275256633758545,0.438414067029953,2.067981481552124,0.5839531421661377,1.5444623231887817,11.9005765914917,0.896484375,0.3866029977798462,0.7760937213897705,0.8331419229507446,0.688671886920929,1.0530712604522705,0.6892187595367432,1.0713465213775635,0.7825000286102295,0.7862088680267334,0.9127343893051147,0.34206199645996094,4.4724345207214355
1,0.9398671984672546,0.23056232929229736,0.8683984279632568,0.48094359040260315,0.8088593482971191,0.656035304069519,0.8153749704360962,0.6397398114204407,0.8745703101158142,0.45799410343170166,0.9470859169960022,0.20467405021190643,2.6699469089508057,0.9435937404632568,0.18603283166885376,0.8853906393051147,0.3984711170196533,0.8460156321525574,0.5157545804977417,0.8549218773841858,0.485866904258728,0.8889843821525574,0.37176844477653503,0.9459375143051147,0.17219918966293335,2.130093574523926
2,0.9679296612739563,0.11836902797222137,0.9324843883514404,0.24913285672664642,0.9041953086853027,0.3294951319694519,0.9100156426429749,0.3129853904247284,0.9353749752044678,0.234367236495018,0.9698437452316284,0.10602346062660217,1.350375771522522,0.9508593678474426,0.1445637196302414,0.9085156321525574,0.29738086462020874,0.893359363079071,0.3479616045951843,0.8907812237739563,0.346807599067688,0.9178125262260437,0.27160191535949707,0.9502343535423279,0.157889261841774,1.5662041902542114
3,0.9776796698570251,0.08006036281585693,0.9535937309265137,0.16894099116325378,0.9377734661102295,0.21326696872711182,0.9421015381813049,0.20205608010292053,0.9551015496253967,0.1597713977098465,0.9789296984672546,0.07218976318836212,0.8962844014167786,0.9486718773841858,0.1260133981704712,0.9214843511581421,0.24567800760269165,0.903124988079071,0.29460814595222473,0.9095312356948853,0.2712574303150177,0.9284374713897705,0.2201780527830124,0.9607031345367432,0.09658351540565491,1.2543184757232666
4,0.9834140539169312,0.05815921723842621,0.9669687747955322,0.12183234095573425,0.9570546746253967,0.14939984679222107,0.9596015810966492,0.14093981683254242,0.9676640629768372,0.11488837748765945,0.9852734208106995,0.05237744003534317,0.6375965476036072,0.9607031345367432,0.09253682941198349,0.9255468845367432,0.22032737731933594,0.9087499976158142,0.2648678719997406,0.9118750095367432,0.25009098649024963,0.9296093583106995,0.1976097673177719,0.9585156440734863,0.09189744293689728,1.1173306703567505
5,0.9880077838897705,0.04363781958818436,0.9758984446525574,0.08964970707893372,0.9706797003746033,0.10675154626369476,0.9732109308242798,0.0993707925081253,0.9761796593666077,0.08471190184354782,0.9888671636581421,0.039516381919384,0.46363794803619385,0.9560937285423279,0.09639795124530792,0.922656238079071,0.21399694681167603,0.9060156345367432,0.26412898302078247,0.9139062762260437,0.23795504868030548,0.9293749928474426,0.19335748255252838,0.9740625023841858,0.08536588400602341,1.0912022590637207
6,0.9917656183242798,0.03226371854543686,0.9835468530654907,0.06492695957422256,0.9805859327316284,0.07644882798194885,0.9826093912124634,0.07065913081169128,0.9838749766349792,0.061762355268001556,0.9922031164169312,0.02948899194598198,0.335549920797348,0.9574999809265137,0.08382522314786911,0.9293749928474426,0.19181327521800995,0.9126562476158142,0.23539455235004425,0.9155468940734863,0.2259635478258133,0.9334375262260437,0.1718846559524536,0.9783594012260437,0.07019910961389542,0.9790804982185364
7,0.9944140911102295,0.02394595555961132,0.9895547032356262,0.0463617779314518,0.9883046746253967,0.05398857593536377,0.9894765615463257,0.0498029924929142,0.9898515343666077,0.044056180864572525,0.9946953058242798,0.022010812535881996,0.24016638100147247,0.9537500143051147,0.07830765843391418,0.9251562356948853,0.18680202960968018,0.9133594036102295,0.2255537360906601,0.9182812571525574,0.2088450789451599,0.9312499761581421,0.17255644500255585,0.9795312285423279,0.06720472127199173,0.9392697811126709
8,0.9965859651565552,0.017379693686962128,0.9939844012260437,0.03284553065896034,0.9944062232971191,0.03667407110333443,0.9947812557220459,0.034101326018571854,0.9944297075271606,0.030513945966959,0.9971874952316284,0.0152974184602499,0.16681185364723206,0.9546093940734863,0.07689803838729858,0.9287499785423279,0.17777597904205322,0.9133594036102295,0.2219155728816986,0.9160937666893005,0.2112748771905899,0.9330468773841858,0.1614922285079956,0.9800781011581421,0.06831806153059006,0.9176749587059021
9,0.9983124732971191,0.012418942525982857,0.9973593950271606,0.022294126451015472,0.9972187280654907,0.02572084218263626,0.9977656006813049,0.023994967341423035,0.9972344040870667,0.021352818235754967,0.9983984231948853,0.011395948007702827,0.11717763543128967,0.9522656202316284,0.07175945490598679,0.9282031059265137,0.17415498197078705,0.9116406440734863,0.21428120136260986,0.9149218797683716,0.20296479761600494,0.9314844012260437,0.15938900411128998,0.9799218773841858,0.06767008453607559,0.8902192711830139
10,0.9992343783378601,0.009108100086450577,0.9989609122276306,0.015855887904763222,0.9989609122276306,0.01863088831305504,0.9990234375,0.017466966062784195,0.9988750219345093,0.015344219282269478,0.9991093873977661,0.008527232334017754,0.08493306487798691,0.9525781273841858,0.07553131878376007,0.9256250262260437,0.17766132950782776,0.9117187261581421,0.21924510598182678,0.9159374833106995,0.20396214723587036,0.9299218654632568,0.16108769178390503,0.9806249737739563,0.06687678396701813,0.9043636918067932
11,0.9995937347412109,0.006881468929350376,0.9994453191757202,0.01189266238361597,0.9995077848434448,0.013887629844248295,0.9995390772819519,0.013107547536492348,0.999398410320282,0.011599412187933922,0.9994531273841858,0.006550602149218321,0.06391921639442444,0.9499218463897705,0.07045520842075348,0.9260937571525574,0.17158588767051697,0.9087499976158142,0.21511322259902954,0.9136718511581421,0.19941268861293793,0.9274218678474426,0.15580208599567413,0.9809374809265137,0.0633237287402153,0.8756929636001587
12,0.9997187256813049,0.005493654403835535,0.9996640682220459,0.009487614035606384,0.999679684638977,0.011027591302990913,0.9997187256813049,0.010425049811601639,0.9996406435966492,0.009046093560755253,0.9996874928474426,0.005158404354006052,0.05063841491937637,0.9479687213897705,0.06876877695322037,0.9233593940734863,0.17266887426376343,0.9091406464576721,0.2143281102180481,0.9124218821525574,0.1985766440629959,0.9253125190734863,0.1596299111843109,0.9818750023841858,0.0635882169008255,0.8775606751441956
13,0.9997344017028809,0.0046579414047300816,0.9997265338897705,0.007778725121170282,0.9997265338897705,0.009030358865857124,0.9997344017028809,0.008635464124381542,0.9999687671661377,0.007321183104068041,0.9997344017028809,0.004253748804330826,0.04167747125029564,0.9451562762260437,0.06626594811677933,0.9219531416893005,0.17099842429161072,0.9060156345367432,0.21118608117103577,0.9094531536102295,0.2017417848110199,0.9232812523841858,0.15948615968227386,0.982421875,0.061164818704128265,0.8708433508872986
14,0.999750018119812,0.003923582378774881,0.9997344017028809,0.0066100964322686195,0.999750018119812,0.007677722256630659,0.9997422099113464,0.007402077317237854,0.9997109174728394,0.006396282929927111,0.999750018119812,0.00365284807048738,0.03566262871026993,0.9442968964576721,0.07055263221263885,0.9196093678474426,0.17145274579524994,0.9060937762260437,0.21434389054775238,0.9090625047683716,0.19625425338745117,0.9215624928474426,0.15656563639640808,0.982421875,0.06229230761528015,0.8714610934257507
15,0.9997422099113464,0.0035584154538810253,0.999750018119812,0.005816023331135511,0.999750018119812,0.006864067167043686,0.9997422099113464,0.006575701758265495,0.999750018119812,0.005622316151857376,0.9997422099113464,0.00326093309558928,0.03169746324419975,0.9412500262260437,0.07002793997526169,0.9175000190734863,0.17415882647037506,0.9024218916893005,0.21573609113693237,0.9059374928474426,0.19894972443580627,0.920703113079071,0.16074255108833313,0.9823437333106995,0.0650990828871727,0.884713888168335
